你好！	Nǐ hǎo!	Hello!	[sound:tmp1cctcn.mp3] 
她在睡眠中安详地去世了。	tā zài shuìmián zhōng ānxiáng dì qùshì le .	She passed away peacefully in her sleep.	[sound:334598.mp3]
大麻是一种毒品。	Dàmá shì yīzhǒng dúpǐn.	Marijuana is a type of drug.	[sound:tmpw7r8vc.mp3]
我们班上的杨梅是个华裔。	Wǒmen bān shàng de Yáng Méi shì ge Huáyì.	Our classmate Yang Mei is of Chinese origin.	[sound:tmpuxpdut.mp3]
他在涂油漆。	Tā zài tú yóuqī.	He is painting.	[sound:tmpth8gcx.mp3]
油漆未干。	Yóuqī wèi gān.	"Wet Paint [lit., ""The paint has not yet dried.""]"	[sound:tmpqbvyfz.mp3]
他给墙面刷上油漆。	Tā gěi qiángmiàn shuāshàng yóuqī.	He's painting the wall.	[sound:tmpqplelq.mp3]
墙上的油漆脱落了。	Qiáng shàng de yóuqī tuōluò le.	The paint on the wall has come off.	[sound:tmpugqhha.mp3]
我住在一个大城市里。	wǒ zhù zài yī gè dà chéngshì lǐ .	I live in a big city.	[sound:334645.mp3]
我并不喜欢吃汉堡。	Wǒ bìng bù xǐhuan chī hànbǎo.	I definitely don't like hamburgers.	[sound:tmpzqsz5c.mp3]
这份是原稿。	Zhè fèn shì yuángǎo.	This is the original manuscript.	[sound:tmpzutz5k.mp3]
他对生活感到很无奈。	Tā duì shēnghuó gǎndào hěn wúnài.	He feels powerless about his own life.	[sound:tmpgwdcgz.mp3]
他正在赌牌。	Tā zhèngzài dǔ pái.	They're gambling on cards.	[sound:tmppcwbfy.mp3]
他在书上做批注。	Tā zài shū shàng zuò pīzhù.	He's annotating the book.	[sound:tmpnhwdal.mp3]
香港回归前曾是英国的殖民地。	Xiānggǎng huíguī qián céng shì Yīngguó de zhímíndì.	Before its return to China, Hong Kong was a colony of the UK.	[sound:tmpxj_h8k.mp3]
香港曾经是英国的殖民地。	Xiānggǎng céngjīng shì Yīngguó de zhímíndì.	HK was once a colony of the UK.	[sound:tmpcoqfbw.mp3]
澳门曾经是葡萄牙的殖民地。	Àomén céngjīng shì Pútáoyá de zhímíndì.	Macau was once a colony of Portugal.	[sound:tmpntly9y.mp3]
对残疾人我们应该给予帮助。	Duì cánjí rén wǒmen yīnggāi jǐyǔ bāngzhù.	We should offer to help the handicapped.	[sound:tmpbwyx1t.mp3]
这个玩具是锡做的。	Zhè gè wánjù shì xī zuò de.	This toy is made of tin.	[sound:tmpqnsibr.mp3]
你这么说很失礼。	nǐ zhème shuō hěn shīlǐ .	It is rude of you to say so.	[sound:334635.mp3]
她把礼物置在头顶。	Tā bǎ lǐwù zhì zài tóudǐng.	She put the gift on her head.	[sound:tmpofhzx8.mp3]
她欠了很多债。	Tā qiànle hěn duō zhài.	She is deeply in debt.	[sound:tmpk61hfh.mp3]
我明天就可以还清债款了。	Wǒ míngtiān jiù kěyǐ háiqīng zhàikuǎn le.	I can pay off my debts tomorrow.	[sound:tmpqzl3xh.mp3]
两国文化差异很大。	Liǎng guó wénhuà chāyì hěn dà.	There are big cultural differences between the two nations.	[sound:tmpxvzlpm.mp3]
东西方的文化有很大的差异。	Dōngxī fāng de wénhuà yǒu hěn dà de chāyì.	Eastern and Western culture are very different.	[sound:tmphrkcjw.mp3]
河水很急，渡过去很危险。	Hé shuǐ hěn jí, dù guòqù hěn wēixiǎn.	The river is running quickly. It is dangerous to cross.	[sound:tmp2zxf9j.mp3]
我们对他的私事知道得很少。	wǒmen duì tā de sīshì zhīdào děi hěn shǎo .	We know little of his personal history.	[sound:334816.mp3]
今天一美金兑换三十台币。	Jīntiān yī měijīn duìhuàn sānshí Táibì.	Today's exchange rate is 1 US dollar for 30 NT.	[sound:tmporqdn1.mp3]
在台湾，通常用台币买东西。	Zài Táiwān, tōngcháng yòng Táibì mǎi dōngxi.	In Taiwan, people usually make purchases using NT.	[sound:tmpahkz9h.mp3]
我用肥皂洗手。	Wǒ yòng féizào xǐshǒu.	I wash my hands with soap.	[sound:tmpbawjc2.mp3]
现场的营救工作很困难。	Xiànchǎng de yíngjiù gōngzuò hěn kùnnan.	On-the-scene rescue work is very difficult.	[sound:tmpnvja7z.mp3]
护照是伪造的。	Hùzhào shì wěizào de.	The passport is counterfeit.	[sound:tmpakuvdq.mp3]
他在进行视力测验。	Tā zài jìnxíng shìlì cèyàn.	He is having a vision examination.	[sound:tmpkii7a4.mp3]
考试测验还没有结束。	Kǎoshì cèyàn hái méiyǒu jiéshù.	The examination hasn't ended yet.	[sound:tmpj_ykh6.mp3]
我今天有一个测验。	Wǒ jīntiān yǒu yīgè cèyàn.	I have a test today.	[sound:R022-07.mp3]
你今天有一个测验吗？	Nǐ jīntiān yǒu yī gè cèyàn ma?	Do you have a test today?	[sound:G022-05.mp3]
她今天没有一个测验。	Tā jīntiān méi yǒu yī gè cèyàn.	She does not have a test today.	[sound:G022-06.mp3]
你什么时候有一个测验？	Nǐ shénme shíhòu yǒu yī gè cèyàn?	When will you have the test?	[sound:G031-05.mp3]
我们明天有个测验。	wǒmen míngtiān yǒu ge cèyàn .	We have a test tomorrow.	[sound:333773.mp3]
我妹妹今天有一个测验。	Wǒ mèimèi jīntiān yǒu yī gè cèyàn.	My little sister has a test today.	[sound:G022-07.mp3]
她什么时候有一个历史测验？	Tā shénme shíhòu yǒu yī gè lìshǐ cèyàn?	When will she have the history test?	[sound:G031-06.mp3]
学生们什么时候有一个数学测验？	Xuéshengmen shénme shí hòu yǒu yī gè shùxué cèyàn?	When will the students have the math test?	[sound:R031-05.mp3]
烤鸡真香啊。	Kǎo jī zhēn xiāng a.	The roast chicken smells very nice.	[sound:tmpaeofbe.mp3]
双方领导人会晤。	Shuāngfāng lǐngdǎo rén huìwù.	Leaders of the two sides met.	[sound:tmp2lmuy9.mp3]
双方开始正式的会晤。	Shuāngfāng kāishǐ zhèngshì de huìwù.	Both sides begin to meet officially.	[sound:tmpnahum6.mp3]
中国总理会晤了美国代表团。	Zhōngguó zǒnglǐ huìwù le Měiguó dàibiǎo tuán.	The Chinese Premier met with the American delegation.	[sound:tmpwlcqmr.mp3]
记者采访了温家宝总理。	Jìzhě cǎifǎng le Wēn Jiābǎo zǒnglǐ.	The reporter interviewed Premier Wen Jiabao.	[sound:tmpgbhh9f.mp3]
他是我们的模范。	Tā shì wǒmen de mófàn.	He sets an example for us.	[sound:tmp10q5qn.mp3]
太阳偏西了。	Tàiyáng piānxī le.	The sun is to the west.	[sound:tmpe9uo_u.mp3]
他丢失了太阳镜。	Tā diūshīle tàiyángjìng.	He lost his sunglasses.	[sound:R064-02.mp3]
他们在院子里挖土。	Tāmen zài yuànzi lǐ wātǔ.	They're digging in the yard.	[sound:tmpjnt3so.mp3]
他在朝阳时分出发。	Tā zài zhāoyàng shífèn chūfā.	He sets out with the early morning sun.	[sound:tmpwpga54.mp3]
阳光透过大树照在地上。	Yángguāng tòuguò dà shù zhào zài dìshang.	The sun is shining on the ground through the leaves of the big tree.	[sound:tmpgbz3ns.mp3]
透过窗，我们可以看到很美的海景。	tòuguò chuāng, wǒmen kěyǐ kàn dào hěn měi de hǎijǐng .	We have a beautiful view of the sea from the window.	[sound:334852.mp3]
大树被截成两段。	Dà shù bèi jiéchéng liǎngduàn.	The large tree has been cut into two sections.	[sound:tmp50jp_z.mp3]
这家工厂是国营的。	Zhè jiā gōngchǎng shì guóyíng de.	This factory is run by the State.	[sound:tmpcofpzg.mp3]
他是个诈骗犯。	Tā shì gè zhàpiànfàn.	He's a swindler.	[sound:tmpctxvb4.mp3]
法官在审讯犯人。	Fǎguān zài shěnxùn fànrén.	The judge is interrogating the criminal.	[sound:tmptuwzcy.mp3]
闪电瞬间照亮了天空。	Shǎndiàn shùnjiān zhàoliàngle tiānkōng.	A streak of lightning lit up the sky for a split second.	[sound:tmpalq4b8.mp3]
演讲者不熟悉他的主题，说得又不好，总之，他很糟糕。	yǎnjiǎng zhě bù shúxī tā de zhǔtí , shuō děi yòu bù hǎo , zǒngzhī , tā hěn zāogāo .	The speaker didn't know his subject, nor did he speak well; in short, he was disappointing.	[sound:334324.mp3]
今天糟糕透了，所以我准备去喝一杯就直接上床。	jīntiān zāogāo tòu le , suǒyǐ wǒ zhǔnbèi qù hē yī bēi jiù zhíjiē shàng chuáng .	I had an awful experience today, so I'm about to have a beer and go straight to bed.	[sound:332462.mp3]
他用尺子来画图。	Tā yòng chǐzi lái huàtú.	She uses a ruler to draw the design.	[sound:tmp8lqox1.mp3]
狼很狡猾。	Láng hěn jiǎohuá.	Wolves are cunning.	[sound:tmpj5pgj0.mp3]
在这次战役中，敌人很狡猾。	Zài zhècì zhànyì zhōng, dírén hěn jiǎohuá.	In this battle, the enemy was very cunning.	[sound:tmpkz2rle.mp3]
老朱真诚地对待每一个人。	Lǎo Zhū zhēnchéng de duìdài měi yī gè rén.	Lao Zhu treats everyone else sincerely.	[sound:tmpjmfvge.mp3]
观众热烈地鼓掌。	Guānzhòng rèliè de gǔzhǎng.	The audience applauded warmly.	[sound:tmpnj2jnf.mp3]
我们为表演者鼓掌。	wǒmen wéi biǎoyǎnzhě gǔzhǎng .	We gave the performer a clap.	[sound:332932.mp3]
观众人数庞大。	guānzhòng rénshù pángdà .	The audience was very large.	[sound:332653.mp3]
大象是一种体型庞大的动物。	Dàxiàng shì yīzhǒng tǐxíng pángdà de dòngwù.	Elephants are a type of animal with a huge body size.	[sound:tmpgnirml.mp3]
这架飞机体积庞大。	Zhè jià fēijī tǐjī pángdà.	The size of this airplane is massive.	[sound:tmp3xujlb.mp3]
这里有一副橡胶手套。	Zhèli yǒu yī fù xiàngjiāo shǒutào.	There's a pair of rubber gloves here.	[sound:tmp74qrco.mp3]
轮胎是用橡胶做的。	Lúntāi shì yòng xiàngjiāo zuò de.	Tires are made of rubber.	[sound:tmpzqz1mn.mp3]
心里还悬念着一件事。	Xīnli hái xuánniànzhe yī jiàn shì.	There's still something on my mind that worries me.	[sound:tmpnt9rsk.mp3]
接受对方的准则就是给予他权力。	jiēshòu duìfāng de zhǔnzé jiùshì jǐyǔ tā quánlì .	Accepting the other's norms is submitting to the other's power.	[sound:332683.mp3]
公司赋予他很大的权力。	Gōngsī fùyǔ tā hěn dà de quánlì.	The company has given him a lot of power.	[sound:tmpwxtjnb.mp3]
每个人都有受教育的权力。	Měige rén dōu yǒu shòu jiàoyù de quánlì.	Everyone has the right to receive an education.	[sound:tmppel4f2.mp3]
红灯亮时，车辆要停止行驶。	Hóngdēng liàng shí, chēliàng yào tíngzhǐ xíngshǐ.	When the light turns red, vehicles must stop.	[sound:tmpdjpbhy.mp3]
在城市里行驶的车辆数量增加了。	zài chéngshì lǐ xíngshǐ de chēliàng shùliàng zēngjiā le .	The number of cars running in the city has increased.	[sound:333367.mp3]
教堂左边有一个纪念碑。	Jiàotáng zuǒbiān yǒu yī gè jìniànbēi.	To the left of the church is a monument.	[sound:R103-03.mp3]
在你的右边能看到人民英雄纪念碑。	Zài nǐ de yòubiān néng kàndào Rénmín Yīngxióng Jìniànbēi.	To your right you can see the Monument to the People's Heroes.	[sound:R103-07.mp3]
那座纪念碑是城市的地标。	Nà zuò jìniànbēi shì chéngshì de dìbiāo.	That monument is the landmark of the city.	[sound:tmp03leir.mp3]
医院右边是美国大使馆。	Yīyuàn yòubiān shì Měiguó dàshǐɡuǎn.	To the right of the hospital is the American embassy.	[sound:R103-05.mp3]
铁塔是巴黎有名的地标。	Tiětǎ shì Bālí yǒumíng de dìbiāo.	The iron tower [Eiffel Tower] is a famous landmark of Paris.	[sound:tmpvcwfqf.mp3]
微软公司垄断世界的电脑市场。	Wēiruǎn gōngsī lǒngduàn shìjiè de diànnǎo shìchǎng.	Microsoft monopolizes the world computer market.	[sound:tmpcnpgf1.mp3]
花上有霜。	Huā shàng yǒu shuāng.	There's frost on the flowers.	[sound:tmpek5qye.mp3]
简而言之，我不同意。	jiǎnéryánzhī, wǒ bù tóngyì.	To put it briefly, I do not agree.	[sound:332692.mp3]
钻石非常坚硬。	Zuànshí fēicháng jiānyìng.	Diamonds are very very hard.	[sound:tmpct1tqo.mp3]
龙舟运动起源于中国。	Lóngzhōu yùndòng qǐyuán yú Zhōngguó.	The dragon boat sport originated in China.	[sound:tmplr681x.mp3]
这里的环境很宜人。	Zhèli de huánjìng hěn yírén.	This place is very pleasant.	[sound:tmptw47vi.mp3]
政府出现了巨大的赤字。	Zhèngfǔ chūxiàn le jùdà de chìzì.	The government has a huge deficit.	[sound:tmp9wlzs5.mp3]
我们去年遇到了赤字。	wǒmen qùnián yù dào le chìzì .	We went into the red last year.	[sound:333588.mp3]
我国赤字很庞大。	Wǒ guó chìzì hěn pángdà.	Our country has a huge deficit.	[sound:tmpdadl1r.mp3]
这个月我的经济出现了赤字。	Zhè gè yuè wǒde jīngjì chūxiàn le chìzì.	I was in the red this month.	[sound:tmpivwap6.mp3]
赤字大幅度增长。	Chìzì dà fúdù zēngzhǎng.	The deficit is growing greatly.	[sound:tmpai34c4.mp3]
在这种困难的时候，任何寻常的努力都无法使我们的公司摆脱赤字。	zài zhèzhǒng kùnnan de shíhou , rènhé xúncháng de nǔlì dōu wúfǎ shǐ wǒmen de gōngsī bǎituō chìzì .	In hard times like this, no ordinary effort can get our company out of the red.	[sound:334817.mp3]
洪水泛滥。	Hóngshuǐ fànlàn.	There's a flood.	[sound:tmpsfoap3.mp3]
洪水泛滥，淹没了村子。	Hóngshuǐ fànlàn, yānmò le cūnzi.	The flood spread unchecked and flooded the village.	[sound:tmp0qwk83.mp3]
枪支泛滥。	Qiāngzhī fànlàn.	Guns are rampant.	[sound:tmpwczp_j.mp3]
河水泛滥了。	Héshuǐ fànlàn le.	The river flooded (or overflowed).	[sound:tmpwb4sv7.mp3]
你该戒烟戒酒了。	nǐ gāi jiè yān jiè jiǔ le .	You should give up smoking and drinking.	[sound:332874.mp3]
父亲戒酒了。	fùqin jiè jiǔ le .	Father stopped drinking.	[sound:334237.mp3]
我爸爸已经戒烟戒酒了。	wǒ bàba yǐjīng jiè yān jiè jiǔ le .	My father has already given up smoking and drinking.	[sound:334661.mp3]
这件古董价值连城。	Zhè jiàn gǔdǒng jiàzhí liánchéng.	This antique is priceless.	[sound:tmpk9919g.mp3]
这件古董很值钱。	Zhèjiàn gǔdǒng hěn zhíqián.	This antique is worth a lot of money.	[sound:tmpdacgou.mp3]
他们在一起叙家常。	Tāmen zài yīqǐ xù jiācháng.	They're chitchatting about family stuff.	[sound:tmpgxsrnj.mp3]
我没有预料到来了这么多朋友。	Wǒ méiyǒu yùliào dào láile zhème duō péngyou.	I didn't expect that so many friends would come.	[sound:tmpey6ecm.mp3]
这里很荒凉。	Zhèli hěn huāngliáng.	It's desolate here.	[sound:tmpsq7pnr.mp3]
沙漠很荒凉。	Shāmò hěn huāngliáng.	The desert is very desolate.	[sound:tmpqzj_mc.mp3]
旅行社的利润猛涨。	lǚxíngshè de lìrùn měng zhǎng .	Travel agencies' profits soared.	[sound:334732.mp3]
我是家庭主妇。	Wǒ shì jiātíng zhǔfù.	I'm a housewife.	[sound:tmp367czr.mp3]
天气冷，小心别冻坏了。	Tiānqì lěng, xiǎoxīn bié dònghuài le.	It's cold, so be careful not to catch a cold.	[sound:tmpchlppf.mp3]
他是我的仆人。	Tā shì wǒ de púrén.	He's my servant.	[sound:tmp94r7o2.mp3]
他疲惫不堪。	Tā píbèi-bùkān.	He's utterly exhausted.	[sound:tmpdawtxu.mp3]
她在粉刷墙壁。	Tā zài fěnshuā qiángbì.	She is painting the wall.	[sound:tmpood6i8.mp3]
她家境富裕。	Tā jiājìng fùyù.	Her family is rich.	[sound:tmpd6sizu.mp3]
善良的人死后会升入天堂。	Shànliáng de rén sǐ hòu huì shēng rù tiāntáng.	Kind people go to Heaven after death.	[sound:tmpsphtlq.mp3]
他们到教堂去做礼拜了。	Tāmen dào jiàotáng qù zuò lǐbài le.	They went to the church to attend the service.	[sound:tmpgyb2wn.mp3]
宋先生富有吗？	Sòng xiānsheng fùyǒu ma?	Is Mr. Song rich?	[sound:R058-01.mp3]
说实话,宋先生不想讨论那个话题。	Shuō shíhuà, Sòng xiānsheng bù xiǎng tǎolùn nàge huàtí.	To tell the truth, Mr. Song does not want to discuss that topic.	[sound:R092-05.mp3]
老板认为宋先生是公司里最勤奋的职员。	Lǎobǎn rènwéi Sòng xiānsheng shì gōngsī lǐ zuì qínfènde zhíyuán.	The boss considers Mr. Song to be the most diligent worker in the company.	[sound:R075-05.mp3]
猫狗的身上有不少寄生虫。	Māo gǒu de shēnshang yǒu bùshǎo jìshēngchóng.	There are many parasites on the bodies of cats and dogs.	[sound:tmpg6o_me.mp3]
这里是北京天坛。	Zhèli shì Běijīng Tiāntán.	This is the Temple of Heaven in Beijing.	[sound:tmpg5eglc.mp3]
不要招惹这条狗，小心被咬！	Bùyào zhāore zhè tiáo gǒu, xiǎoxīn bèi yǎo!	Don't provoke this dog; be careful not to get bitten.	[sound:tmp64ekny.mp3]
这支笔的墨水是黑色的。	Zhè zhī bǐ de mòshuǐ shì hēisè de.	The pen writes in black.	[sound:tmplm4wth.mp3]
她是一名政客。	Tā shì yīmíng zhèngkè.	She is a politician.	[sound:tmpkdwaky.mp3]
坏的政治人物是政客。	Huài de zhèngzhì rénwù shì zhèngkè.	Bad political figures are called politicians.	[sound:tmpcuakjr.mp3]
我打赌今天不会下雨。	Wǒ dǎdǔ jīntiān bù huì xiàyǔ.	I bet it won't rain today.	[sound:tmp3gpc7z.mp3]
控制一个班级需要你做老师的所有技能。	kòngzhì yī ge bānjí xūyào nǐ zuò lǎoshī de suǒyǒu jìnéng .	To control a class calls for all your skills as a teacher.	[sound:332968.mp3]
他提着一个皮箱。	Tā tízhe yī gè píxiāng.	He is carrying a leather valise.	[sound:tmp5kimbg.mp3]
皮箱里塞满了衣服。	Píxiāng lǐ sāimǎnle yīfu.	The leather suitcase is stuffed with clothes.	[sound:tmpcsjoab.mp3]
女儿的房间很杂乱。	Nǚ'ér de fángjiān hěn záluàn.	My daughter's room is a mess.	[sound:tmpled4oh.mp3]
她在清扫电灯。	Tā zài qīngsǎo diàndēng.	She's cleaning the electric light.	[sound:tmpjvhi3m.mp3]
他将货物移到仓库。	Tā jiāng huòwù yí dào cāngkù.	He's moved the goods to the warehouse.	[sound:tmphe1iwl.mp3]
她越来越苗条了。	Tā yuè lái yuèmiáotiáo le.	She's getting slimmer.	[sound:tmpxy_4fi.mp3]
这台大炮很古老。	Zhè tái dàpào hěn gǔlǎo.	This cannon is very old.	[sound:tmpn4k_4j.mp3]
她们在进行彻底的大扫除。	Tāmen zài jìnxíng chèdǐ de dàsǎochú.	They're doing a thorough cleaning.	[sound:tmpwbxodp.mp3]
她深深地吸了一口气。	Tā shēnshēn de xīle yī kǒu qì.	She took a deep breath.	[sound:tmppzkc1w.mp3]
弟弟是家里的小幺。	Dìdi shì jiālǐ de xiǎoyāo.	My younger brother is the youngest in my family.	[sound:tmp2am6h_.mp3]
手机在充电。	Shǒujī zài chōngdiàn.	The mobile phone is being charged.	[sound:tmpiv9fkh.mp3]
所有的医药费我大概要付多少？	suǒyǒu de yīyàofèi wǒ dàgài yào fù duōshao ?	About how much will I have to pay for all the treatments?	[sound:333845.mp3]
进入公司要签署劳动协议。	Jìnrù gōngsī yào qiānshǔ láodòng xiéyì.	To join a company, one must sign a labor contract.	[sound:tmpfcbnb_.mp3]
屋顶是用瓦片盖的。	Wūdǐng shì yòng wǎpiàn gài de.	The roof is made with ceramic tiles.	[sound:tmpvjpfeq.mp3]
他的容貌改变了许多。	tā de róngmào gǎibiàn le xǔduō .	He's changed a lot in his looks.	[sound:334283.mp3]
即使他们有很好的酒单，我也不想在这里用餐。	jíshǐ tāmen yǒu hěn hǎo de jiǔdān , wǒ yě bù xiǎng zài zhèli yòngcān .	Even if they have a good wine menu, I will not want to dine here. <br /> Unless they have a good wine list, I don't want to eat here.	[sound:332667.mp3]
他迷失了方向。	Tā míshīle fāngxiàng.	He's lost his way.	[sound:tmpiprmvo.mp3]
飞机着陆了。	Fēijī zhuólù le.	The plane has touched down.	[sound:tmpkd6mcu.mp3]
看样子天要放晴了。	Kàn yàngzi tiān yào fàngqíng le.	The sky appears it will clear up.	[sound:R102-03.mp3]
小朱向小红虚心请教方法。	Xiǎo Zhū xiàng Xiǎo Hóng xūxīn qǐngjiào fāngfǎ.	Xiao Zhu humbly asked Xiao Hong for advice on the best approach.	[sound:tmpsc7jaq.mp3]
下个周末吴小姐要去中国历史博物馆。	Xiàgè zhōumò Wú xiǎojiě yào qù Zhōngguó lìshǐ bówùguǎn.	Next weekend Ms. Wu wants to go to the National Museum of Chinese history.	[sound:R050-06.mp3]
吴小姐住的地方离龙塔很远。	Wú xiǎojiě zhùde dìfang lí lóngtǎ hěn yuǎn.	Ms. Wu lives very far from the Dragon Tower.	[sound:R073-07.mp3]
吴小姐的专业是市场营销。	Wú xiǎojiě de zhuānyè shì shìchǎngyíngxiāo.	Ms. Wu's major is marketing.	[sound:R084-02.mp3]
大家认为吴小姐的家庭很富有。	Dàjiā rènwéi Wú xiǎojiě de jiātínɡ hěn fùyǒu.	Everyone considers Ms. Wu's household to be rich.	[sound:R060-01.mp3]
吴小姐比她漂亮。	Wú xiǎojiě bǐ tā piàoliang.	Ms. Wu is prettier than she.	[sound:R063-05.mp3]
听说吴小姐很聪明。	Tīngshuō Wú xiǎojiě hěn cōngmíng.	I've heard that Ms. Wu is very smart.	[sound:G048-07.mp3]
他在报告上做批示。	Tā zài bàogào shàng zuò pīshì.	He's writing comments and instructions on the report.	[sound:tmpxnxury.mp3]
重覆看，才会记住。	Chóngfù kàn, cái huì jì zhù.	You will only remember after repeated viewings.	[sound:tmpc8zp7f.mp3]
看汉字，最好重覆看。	Kàn Hànzì, zuìhǎo chóngfù kàn.	To read Chinese characters, it's best to view them repeatedly.	[sound:tmpzmfq3f.mp3]
小冰重覆老师的动作。	Xiǎo Bīng chóngfù lǎoshī de dòngzuò.	Xiao Bing repeated the teacher's movements.	[sound:tmpcjubik.mp3]
小孩在学溜冰。	Xiǎohái zài xué liūbīng.	The child is learning how to ice skate.	[sound:tmpb3xmbo.mp3]
你会溜冰吗？	nǐ huì liūbīng ma ?	Can you skate?	[sound:332557.mp3]
过去我们每个周末都去溜冰。	guòqù wǒmen měige zhōumò dōu qù liūbīng .	We used to go skating every weekend.	[sound:333149.mp3]
他想要颠覆政府。	Tā xiǎngyào diānfù zhèngfǔ.	He wants to overthrow the government.	[sound:tmpwaktkw.mp3]
那里有一个水果摊。	Nàli yǒu yī gè shuǐguǒ tān.	There is a fruit stall there.	[sound:tmp5w0sum.mp3]
请给我一杯纯净水。	Qǐng gěi wǒ yī bēi chúnjìngshuǐ.	Please give me a glass of purified water.	[sound:tmphakg36.mp3]
他们向右甩胳膊。	Tāmen xiàngyòu shuǎi gēbo.	They swing their arms to the right.	[sound:tmpjs2jno.mp3]
魔术师吸引了孩子们的注意。	móshùshī xīyǐn le háizimen de zhùyì .	The magician had the children's attention.	[sound:334604.mp3]
雨季洪水泛滥。	Yǔjì hóngshuǐ fànlàn.	During the rainy season, there are floods.	[sound:tmpvjqefm.mp3]
他笑嘻嘻的表情很可爱。	Tā xiàoxīxī de biǎoqíng hěn kě'ài.	His smiling expression is very cute.	[sound:tmpuzbdgc.mp3]
学校的伙食不错。	Xuéxiào de huǒshi bùcuò.	The food at school isn't bad.	[sound:tmpa_vigc.mp3]
学校改善了学生的伙食。	Xuéxiào gǎishàn le xuésheng de huǒshí.	The school has improved the food for students.	[sound:tmpsvl0qi.mp3]
这张沙发是朱红色的。	Zhè zhāng shāfā shì zhūhóngsè de.	This sofa is bright red.	[sound:tmpgld6t0.mp3]
他高兴得大声呐喊。	Tā gāoxìng de dàshēng nàhǎn.	He is so happy that he shouted out loud.	[sound:tmpfhsypr.mp3]
贝贝生活在一个幸福的家庭里。	Bèi Bei shēnghuó zài yī ge xìngfú de jiātíng lǐ.	Beibei lives in a happy/blessed household.	[sound:tmp1ddrf5.mp3]
他告诉她一个私人秘密。	Tā gàosu tā yī gè sīrén mìmì.	He's telling her a personal secret.	[sound:tmpysxwwh.mp3]
花在风中摇摆。	Huā zài fēng zhōng yáobǎi.	The flower is waving in the wind.	[sound:tmp9wt0lm.mp3]
公路上的交通次序良好。	Gōnglù shàng de jiāotōng cìxù liánghǎo.	Traffic on the highway is proceeding in an fine fashion.	[sound:tmpkrhycu.mp3]
她支付了汽车的租金。	Tā zhīfùle qìchē de zūjīn.	She paid the rent for her car.	[sound:tmpvyuemv.mp3]
A是的。我很喜欢花茶。<br/>B我也很喜欢花茶。	Shìde. Wǒ hěn xǐhuan huāchá.<br />Wǒ yě hěn xǐhuan huāchá.	Yes. I like perfume tea.<br />I also like perfume tea.	[sound:R002-DLG.mp3]
他的庭院很漂亮。	Tā de tíng yuàn hěn piàoliang.	His yard is very beautiful.	[sound:tmpmqjbi0.mp3]
孩子应该孝顺父母。	Háizi yīnggāi xiàoshùn fùmǔ.	Children should be filial to their parents.	[sound:tmp19muzu.mp3]
他对父母很孝顺.	Tā duì fùmǔ hěn xiàoshùn.	He is very filial toward his parents.	[sound:tmp88qh4s.mp3]
政府发表严正声明。	Zhèngfǔ fābiǎo yánzhèng shēngmíng.	The government put out a stern declaration.	[sound:tmpx7uoqy.mp3]
老师对他进行了严正的指责。	Lǎoshī duì tā jìnxíng le yánzhèng de zhǐzé.	The teacher sternly criticized him.	[sound:tmpaprckv.mp3]
南京曾经是南宋的首都。	Nánjīng céngjīng shì nán sòng de shǒudū.	Nanjing was once the capital of the Southern Song dynasty.	[sound:tmp79rzje.mp3]
我们都爱吃冰淇淋。	Wǒmen dōu ài chī bīngqilín.	We all love ice cream.	[sound:tmppy6ji1.mp3]
他喜欢冰淇淋的味道。	Tā xǐhuan bīngqilín de wèidao.	He likes the taste of ice cream.	[sound:tmpajb_gs.mp3]
她很喜欢吃冰淇淋。	Tā hěn xǐhuan chī bīngqilín.	She really loves ice cream.	[sound:tmp0retnf.mp3]
小孩把冰淇淋含在嘴里。	Xiǎohái bǎ bīngqílín hán zài zuǐlǐ.	The child kept the ice cream in his mouth.	[sound:tmp_wjifx.mp3]
妈妈准许他们吃冰淇淋。	Māma zhǔnxǔ tāmen chī bīngqilín.	Their mother allowed them to eat ice cream.	[sound:tmp4d6nuq.mp3]
冰淇淋融化了。	Bīngqilín rónghuà le.	The ice cream has melted.	[sound:tmpo80xqn.mp3]
冰雪开始融化了。	Bīngxuě kāishǐ rónghuà le.	The ice and snow are beginning to melt.	[sound:tmpdvt7tb.mp3]
冰块融化了。	Bīngkuài rónghuà le.	The ice cube is melting.	[sound:tmpi_vnrw.mp3]
他们憧憬着美好的未来。	Tāmen chōngjǐngzhe měihǎo de wèilái.	They're looking forward to a bright future.	[sound:tmp3jbvnf.mp3]
国际货币基金组织不考虑再借款给该国。	guójìhuòbìjījīn zǔzhī bù kǎolǜ zài jièkuǎn gěi gāiguó .	The IMF won't consider any new loans to that country.	[sound:332919.mp3]
穷人贩卖婴儿。	Qióngrén fànmài yīng'ér.	Poor people sell babies.	[sound:tmpemqcmr.mp3]
他贩卖毒品。	Tā fànmài dúpǐn.	He sells drugs.	[sound:tmplcz45v.mp3]
他靠贩卖水果生活。	Tā kào fànmài shuǐguǒ shēnghuó.	He makes a living by selling fruits.	[sound:tmp63lbii.mp3]
毒品贩卖是违法的。	Dúpǐn fànmài shì wéifǎ de.	Selling drugs is illegal.	[sound:tmphe5hdp.mp3]
下个周末林经理要去桑拿。	Xià ɡè zhōumò Lín jīnglǐ yào qù sānɡná.	Next weekend Manager Lin wants to go to the sauna.	[sound:G050-07.mp3]
