Kate, 坐吧。	Kate, zuò ba.	Sit down, Kate.	[sound:332793.mp3]
他们生活得很幸福。	Tāmen shenghuó de hěn xingfú.	They lived a happy life.	[sound:332759.mp3]
他告诉了我们许多经验教训。	Tā gàosu le wǒmen xǔduō jingyàn jiàoxun.	He told us many lessons.	[sound:332773.mp3]
仅三分之一的成员出席了会议。	Jǐn sān fēn zhī yī de chengyuán chūxí le huìyì.	Only one third of the members turned up at the meeting.	[sound:332802.mp3]
我们将于下周日结婚。	Wǒmen jiang yú xià Zhoūrì jiéhūn.	We are to be married next Sunday.	[sound:332852.mp3]
我们国家不缺石油。	Wǒmen guójiā bù quē shíyoú.	We are not short of oil in this country.	[sound:332861.mp3]
他被选为市长。	Tā bèi xuǎn wéi shìzhang.	He was elected mayor.	[sound:332862.mp3]
这音乐值得听许多次。	Zhè yīnyuè zhíde ting xǔduō cì.	That music is worth listening to many times.	[sound:332867.mp3]
严重吗？	Yánzhong ma?	Is it serious?	[sound:332870.mp3]
要掌握法语一点都不容易。	Yào zhangwò Fǎyǔ yīdiǎn doū bù rongyì.	It's not easy to master French at all.	[sound:332880.mp3]
这只是偶发事件。	Zhè zhǐ shì oǔ fā shìjiàn.	That only happens occasionally.	[sound:332893.mp3]
我们偶然碰到了她。	Wǒmen oǔrán pengdào le tā.	We met her by accident.	[sound:332910.mp3]
退休后他的收入少了一半。	Tuìxiū hoù tā de shoūrù shǎo le yī bàn.	His income was diminished by half after retirement.	[sound:332994.mp3]
这只梨闻上去很香。	Zhè zhī lí wénshangqù hěn xiang.	This pear smells nice.	[sound:333031.mp3]
我想坐在无烟区。	Wǒ xiang zuò zài wúyān qū.	I would like to sit in the non-smoking section.	[sound:333040.mp3]
我希望如此。	Wǒ xīwang rúcǐ.	I hope so.	[sound:333103.mp3]
我们尽情在湖里游泳。	Wǒmen jìnqing zài hú lǐ yoúyong.	We enjoyed swimming in the lake.	[sound:333121.mp3]
她非常周到和耐心。	Tā fēichang zhoūdào hé nàixīn.	She is very thoughtful and patient.	[sound:333172.mp3]
我肯定他会成功的。	Wǒ kěnding tā huì chenggong de.	I'm sure of his success.	[sound:333257.mp3]
你准备待多久？	Nǐ zhǔnbèi dāi duōjiǔ?	How long do you plan on staying?	[sound:333370.mp3]
我爸爸是哈佛大学毕业的。	Wǒ bàba shì Hāfó Dàxué bìyè de.	My father graduated from Harvard University.	[sound:333403.mp3]
她酷爱打网球。	Tā kù'ài dǎ wangqiú.	She is fond of playing tennis.	[sound:333421.mp3]
我尽快需要。	Wǒ jǐnkuài xūyào.	I need it ASAP.	[sound:333429.mp3]
我也听过一个类似的故事。	Wǒ yě ting guo yī gè lèisì de gùshi.	I also heard a similar story.	[sound:333510.mp3]
这部电影很无聊，最好的部分是结局。	Zhè bù diànying hěn wúliáo, zuì hǎo de bùfen shì jiéjú.	This film is really boring - the best bit is when it finishes.	[sound:333653.mp3]
全班同学每周出席一次。	Quán bān tongxué měizhoū chūxí yī cì.	The whole class is present once a week.	[sound:333705.mp3]
用英语说。	Yong Yingyǔ shuō.	Say it in English.	[sound:333760.mp3]
叫救护车。	Jiào jiùhùchē.	Call an ambulance.	[sound:333843.mp3]
我父亲一直很冷静。	Wǒ fùqīn yīzhí hěn lengjing.	My father is always cool.	[sound:333856.mp3]
台风走了。	Táifeng zoǔ le.	The typhoon is gone.	[sound:333969.mp3]
游泳池由住在附近的孩子们共同使用。	Yoúyongchí yoú zhù zài fùjìn de háizimen gongtong shǐyong.	The swimming pool is used in common by all the children in the neighborhood.	[sound:333984.mp3]
在城市生活和在农村生活很不同。	Zài chengshì shenghuó hé zài nongcūn shenghuó hěn bù tong.	Living in the city is really different to living in the country.	[sound:334029.mp3]
教英语是他的职业。	Jiāo Yingyǔ shì tā de zhíyè.	Teaching English is his profession.	[sound:334079.mp3]
我叔叔给了我一份礼物。	Wǒ shūshu gěi le wǒ yī fèn lǐwù.	My uncle gave me a present.	[sound:334104.mp3]
多美好的家庭啊！	Duō měihǎo de jiāting ā!	What a wonderful family!	[sound:334124.mp3]
国家不同，习俗各异。	Guójiā bùtong, xísú gè yì.	Social customs vary from country to country.	[sound:334128.mp3]
翻译几页英文花了我2个多小时。	Fānyì jǐ yè Yingwén huā le wǒ liang gè duō xiǎoshí.	It took me more than two hours to translate a few pages of English.	[sound:334142.mp3]
从窗户可以看见高楼。	Cong chuanghu kěyǐ kànjiàn gāoloú.	The high building can be seen from the window.	[sound:334202.mp3]
你喜欢棒球到什么程度？	Nǐ xǐhuan bangqiú dào shénme chengdù?	To what degree are you interested in baseball?	[sound:334211.mp3]
我的嘴裂开了。	Wǒ de zuǐ lièkāi le.	I have chapped lips.	[sound:334318.mp3]
你犯了个错误。	Nǐ fàn le ge cuòwù.	You made an error.	[sound:334321.mp3]
演讲者不熟悉他的主题，说得又不好，总之，他很糟糕。	Yǎnjiangzhě bù shúxī tā de zhǔtí, shuō de yoù bù hǎo, zongzhī, tā hěn zāogāo.	The speaker didn't know his subject, nor did he speak well; in short, he was disappointing.	[sound:334324.mp3]
这里的夏天很潮湿，另外，冬天很干燥。	Zhèlǐ de xiàtiān hěn cháoshī, lingwài, dongtiān hěn gānzào.	It gets very humid here in the summer. In the winter, on the other hand, it gets very dry.	[sound:334378.mp3]
她拒绝了我的资助。	Tā jùjué le wǒ de zīzhù.	She turned down the subsidy that I offered.	[sound:334379.mp3]
这些照片真美。	Zhèxiē zhàopiàn zhēn měi.	These pictures are really very beautiful.	[sound:334385.mp3]
初次穿着前要先清洗。	Chūcì chuānzhuó qián yào xiān qingxǐ.	Wash before first wearing.	[sound:334416.mp3]
洗后弄平。	Xǐ hoù nongping.	After washing, de-wrinkle it.	[sound:334417.mp3]
这辆自行车属于我。	Zhè liang zìxingchē shǔyú wǒ.	This bicycle belongs to me.	[sound:334535.mp3]
我觉得很孤独。	Wǒ juéde hěn gūdú.	I feel lonely.	[sound:334544.mp3]
她在睡眠中安详地去世了。	Tā zài shuìmián zhong ānxiang de qùshì le.	She passed away peacefully in her sleep.	[sound:334598.mp3]
你曾经得过重病吗？	Nǐ cengjing dé guo zhong bing ma?	Have you ever had any serious illness?	[sound:334600.mp3]
美穗是钢琴家。	Měisuì shì gangqínjiā.	Miho is a pianist.	[sound:334794.mp3]
我有必要向他解释原因吗？	Wǒ yoǔ bìyào xiang tā jiěshì yuányīn ma?	Is it necessary for me to explain the reason to him?	[sound:334843.mp3]
她每周上一次钢琴课。	Tā měi zhoū shang yī cì gangqín kè.	She takes piano lessons once a week.	[sound:334862.mp3]
他很凶。	Tā hěn xiong.	He is mean.	[sound:334863.mp3]
她对当下的流行很敏感。	Tā duì dangxià de liúxing hěn mǐngǎn.	She is sensitive to current fashions.	[sound:334865.mp3]
每隔四年，奥运会举行一次。	Měigé sì nián, Aòyùnhuì jǔxing yīcì.	The Olympic Games take place at intervals of four years.	[sound:334993.mp3]
祝贺你。	Zhùhè nǐ.	Congratulations!	[sound:335058.mp3]
那我就不继续打扰你，玩数独游戏去了。	Nà wǒ jiù bù jìxù dǎrǎo nǐ, wán shùdú yoúxì qù le.	I will play Sudoku then instead of continuing to bother you.	[sound:335063.mp3]
您能教我下国际象棋吗？	Nín neng jiāo wǒ xià guójì xiangqí ma?	Can you teach me to play chess?	[sound:335103.mp3]
他终于完成了他的目标。	Tā zhongyú wáncheng le tā de mùbiāo.	In the end he achieved his objective.	[sound:335107.mp3]
彼得是一个利他主义的游戏玩家，他会把东西给需要的人，而不是为一己之私利出售。	Bǐdé shì yī gè lìtā zhǔyì de yoúxì wánjiā, tā huì bǎ dongxi gěi xūyào de rén, ér bù shì wèi yījǐ zhī sīlì chūshoù.	Peter was an altruistic video game player; he would give items to people who needed them, rather than selling them for personal profit.	[sound:333109.mp3]
抱歉，请允许我指出上文中的三个错误。	Bàoqiàn, qing yǔnxǔ wǒ zhǐchū shangwén zhong de sān gè cuòwù.	Excuse me; allow me to point out three errors in the above article.	[sound:334179.mp3]
由医生来决定某人何时该死是对的吗？	Yoú yīsheng lái juéding moǔrén héshí gāi sǐ shì duì de ma?	Is it right for a doctor to decide when someone should die?	[sound:332670.mp3]
数据表明年轻人抽烟的现象没有减少。	Shùjù biǎoming niánqingrén choūyān de xiànxiang méiyoǔ jiǎnshǎo.	As is evident from the data, smoking is not decreasing among the young.	[sound:332928.mp3]
我爸爸参加了料理竞赛并得了第一名。	Wǒ bàba cānjiā le liàolǐ jingsài bing dé le dì yī ming.	My father participated in a cooking contest and came in first.	[sound:334561.mp3]
接下来该采取什么行动就交给你了。	Jiēxiàlái gāi cǎiqǔ shénme xingdong jiù jiāo gěi nǐ le.	I leave it in your hands what course of action to take.	[sound:332543.mp3]
我们估计能在两周内到那个地方。	Wǒmen gūjì neng zài liang zhoū nèi dào nàge dìfang.	We calculated that we could reach the place within two weeks.	[sound:333304.mp3]
他把他的那段话从磁带里删除了。	Tā bǎ tā de nèi duàn huà cong cídài lǐ shānchú le.	He erased his speech from the tape.	[sound:335087.mp3]
我们必须学会像兄弟一样共同生活，要么就像傻子一样同归于尽。	Wǒmen bìxū xuéhuì xiang xiongdì yīyang gongtong shenghuó, yàome jiù xiang shǎzi yīyang tongguīyújìn.	We must learn to live together as brothers, or we will perish together as fools.	[sound:334481.mp3]
我难以用言语表达我的感情。	Wǒ nán yǐ yong yányǔ biǎodá wǒ de gǎnqing.	I find it hard to express my feelings in words.	[sound:332491.mp3]
老师给我们布置了家庭作业。	Lǎoshī gěi wǒmen bùzhì le jiāting zuòyè.	The teacher gave us homework.	[sound:332544.mp3]
这种款式的帽子现在很流行。	Zhèzhong kuǎnshì de màozi xiànzài hěn liúxing.	This style of hat is now in fashion.	[sound:332554.mp3]
我爸爸现在非常专注于股市。	Wǒ bàba xiànzài fēichang zhuānzhù yú gǔshì.	My father is very much involved in the stock market now.	[sound:333572.mp3]
他和他所有的同学相处融洽。	Tā hé tā suǒyoǔ de tongxué xiangchǔ rongqià.	He's getting along well with all of his classmates.	[sound:334043.mp3]
由于火车延误，我迟到了。	Yoúyú huǒchē yánwu, wǒ chídào le.	I was late as a result of the train delay.	[sound:332552.mp3]
我妹妹每周上两次钢琴课。	Wǒ mèimei měizhoū shang liang cì gangqínkè.	My sister takes piano lessons twice a week.	[sound:333113.mp3]
他听到消息后失去了理智。	Tā tingdào xiāoxi hoù shīqù le lǐzhì.	He went mad when he heard the story.	[sound:333565.mp3]
他留给他女儿一大笔财产。	Tā liú gěi tā nv'ér yī dà bǐ cáichǎn.	He left his daughter a great fortune.	[sound:333797.mp3]
你要更好地利用闲暇时间。	Nǐ yào genghǎo de lìyong xiánxiá shíjiān.	You should make better use of your free time.	[sound:333838.mp3]
让我知道我是否需要改变。	Rang wǒ zhīdào wǒ shìfoǔ xūyào gǎibiàn.	Let me know if I need to change.	[sound:334156.mp3]
我无法不去想被偷掉的钱。	Wǒ wúfǎ bù qù xiang bèi toū diào de qián.	I cannot stop thinking of the stolen money.	[sound:334726.mp3]
我期望能在圣诞节见到你。	Wǒ qīwang neng zài Shengdànjié jiàndào nǐ.	I hope I can see you at Christmas.	[sound:334988.mp3]
她一直和她的兄弟争吵。	Tā yīzhí hé tā de xiongdì zhengchǎo.	She was always quarreling with her brothers.	[sound:332633.mp3]
这房子里似乎在办派对。	Zhè fangzi lǐ sìhū zài bàn pàiduì.	There appears to be a party in that house.	[sound:332774.mp3]
所有苹果树都被砍倒了。	Suǒyoǔ pingguǒ shù doū bèi kǎn dǎo le.	All the apple trees were cut down.	[sound:333114.mp3]
我听到这个消息很惊讶。	Wǒ ting dào zhège xiāoxi hěn jingyà.	I was very surprised to hear the news.	[sound:333214.mp3]
音乐是人类共通的语言。	Yīnyuè shì rénlèi gongtong de yǔyán.	Music is a common speech for humanity.	[sound:333312.mp3]
我父亲是一名外科专家。	Wǒ fùqin shì yī ming wàikē zhuānjiā.	My father is an expert surgeon.	[sound:334239.mp3]
我厌烦了他的长篇大论。	Wǒ yànfán le tā de changpiān-dàlùn.	I got bored with his long talk.	[sound:334771.mp3]
这本书有精美的插图。	Zhè běn shū yoǔ jingměi de chātú.	This book is beautifully illustrated.	[sound:332587.mp3]
第一排的座位5美元。	Dì yī pái de zuòwèi wǔ Měiyuán.	The charge for a front row seat is 5 dollars.	[sound:332848.mp3]
他的忠告总是很明智。	Tā de zhonggào zongshì hěn mingzhì.	His advice is always very sensible.	[sound:332936.mp3]
纽约市的人口有多少？	Niǔyuē Shì de rénkoǔ yoǔ duōshao?	How large is the population of New York City?	[sound:332960.mp3]
他知道如何做收音机。	Tā zhīdào rúhé zuò shoūyīnjī.	He knows how to make a radio.	[sound:333941.mp3]
这辆自行车需要修理。	Zhè liang zìxingchē xūyào xiūlǐ.	This bike needs to be repaired.	[sound:334533.mp3]
她挥着她的手，直到火车消失在视线之外。	Tā huī zhe tā de shoǔ, zhídào huǒchē xiāoshī zài shìxiàn zhī wài.	She waved her hand until the train was out of sight.	[sound:332506.mp3]
他在森林中迷了路。	Tā zài sēnlín zhong mí le lù.	He lost his way in the woods.	[sound:332770.mp3]
因为我想成为翻译。	Yīnwèi wǒ xiang chengwéi fānyì.	Because I want to be a translator.	[sound:332920.mp3]
我们吃面包夹黄油。	Wǒmen chī miànbāo jiā huangyoú.	We eat butter on bread.	[sound:332943.mp3]
再试也无济于事了。	Zài shì yě wú jì yú shì le.	There's no point in trying again.	[sound:333210.mp3]
做运动有利于健康。	Zuò yùndong yoǔlìyú jiànkang.	Exercise is good for your health.	[sound:333295.mp3]
这问题正在被讨论。	Zhè wèntí zhengzài bèi tǎolùn.	The problem is being discussed now.	[sound:333526.mp3]
他们肯定会相恋的。	Tāmen kěnding huì xiang liàn de.	They are sure to fall in love.	[sound:334616.mp3]
男孩躺着听收音机。	Nánhái tang zhe ting shoūyīnjī.	The boy lay listening to the radio.	[sound:334636.mp3]
你的行为完全合法。	Nǐ de xingwéi wánquán héfǎ.	Your conduct is perfectly legal.	[sound:334888.mp3]
你不能未经允许就看别人的私人信件。	Nǐ bù neng wèijing yǔnxǔ jiù kàn biéren de sīrén xìnjiàn.	You shouldn't read other people's private letters without permission.	[sound:334818.mp3]
自由是有代价的。	Zìyoú shì yoǔ dàijià de.	Freedom is not free.	[sound:332638.mp3]
停车场是免费的。	Tingchēchang shì miǎnfèi de.	The parking lot is free of charge.	[sound:332814.mp3]
小丑做了个鬼脸。	Xiǎochoǔ zuò le ge guǐliǎn.	The clown made a funny face.	[sound:332854.mp3]
派对延期了一周。	Pàiduì yánqī le yī zhoū.	The party was put off for a week.	[sound:333211.mp3]
我该取消通话吗?	Wǒ gāi qǔxiāo tonghuà ma?	Should I cancel the call?	[sound:333285.mp3]
鱼和红酒不相配。	Yú hé hongjiǔ bù xiangpèi.	Fish and red wine don't go together.	[sound:333973.mp3]
我从没去过欧洲。	Wǒ cong méi qù guo Oūzhoū.	I've never been to Europe.	[sound:334093.mp3]
透过窗，我们可以看到很美的海景。	Toùguò chuang, wǒmen kěyǐ kàn dào hěn měi de hǎijing.	We have a good view of the sea from the window.	[sound:334852.mp3]
这没有任何区别。	Zhè méiyoǔ rènhé qūbié.	That won't make any difference.	[sound:335016.mp3]
别忘了一到伦敦就给我们留言啊。	Bié wang le yī dào Lúndūn jiù gěi wǒmen liúyán ā.	Be sure to drop us a line as soon as you get to London.	[sound:335019.mp3]
他们在画展上授予了她一等奖。	Tāmen zài huàzhǎn shang shoùyǔ le tā yīdengjiang.	They awarded her first prize at the art exhibition.	[sound:332529.mp3]
不要把我们的计划告诉任何人。	Bù yào bǎ wǒmen de jìhuà gàosu rènhé rén.	Don't tell anyone our plan.	[sound:332771.mp3]
她似乎比以往任何时候都漂亮。	Tā sìhū bǐ yǐwang rènhé shíhou doū piàoliang.	She looked more beautiful than ever.	[sound:334053.mp3]
不要忘记吸烟对你的健康有害。	Bù yào wangjì xīyān duì nǐ de jiànkang yoǔhài.	Don't forget smoking is bad for your health.	[sound:334141.mp3]
火警警报响了。	Huǒjing jingbào xiang le.	The fire alarm sounded.	[sound:334258.mp3]
他儿子小时候就死于癌症了。	Tā érzi xiǎoshíhou jiù sǐ yú áizheng le.	His son died from cancer at a young age.	[sound:332586.mp3]
她没有任何亲戚朋友照顾她。	Tā méiyoǔ rènhé qīnqi pengyou zhàogu tā.	She doesn't have any friends or relatives to take care of her.	[sound:332712.mp3]
道路结冰导致了很多起事故。	Dàolù jiébing dǎozhì le hěn duō qǐ shìgù.	Many accidents resulted from the icy conditions of the road.	[sound:332922.mp3]
如果你想活得久一点就戒烟。	Rúguǒ nǐ xiang huó de jiǔ yīdiǎn jiù jièyān.	Quit smoking if you don't want to die early.	[sound:333559.mp3]
这样的举止只可能是个绅士。	Zhèyang de jǔzhǐ zhǐ kěneng shì ge shēnshì.	He must be a gentleman to act that way.	[sound:333725.mp3]
我决定去美国，而不是欧洲。	Wǒ juéding qù Měiguó, ér bù shì Oūzhoū.	Instead of going to Europe, I decided to go to America.	[sound:333777.mp3]
他住在公园周围的某个地方。	Tā zhù zài gongyuán zhoūwéi de moǔ ge dìfang.	He lives somewhere around the park.	[sound:334975.mp3]
他为美国承受了比我们大多数人所能想象的更多的牺牲。	Tā wèi Měiguó chengshoù le bǐ wǒmen dàduōshù rén suǒ neng xiangxiang de geng duō de xīsheng.	He has endured sacrifices for the United States that most of us cannot begin to imagine.	[sound:334030.mp3]
我无法取代她做英语老师。	Wǒ wúfǎ qǔdài tā zuò Yingyǔ lǎoshī.	I can't take the place of her as an English teacher.	[sound:332503.mp3]
这一消息证实了我的怀疑。	Zhè yī xiāoxi zhengshí le wǒ de huáiyí.	The news confirmed my suspicions.	[sound:332710.mp3]
似乎很便宜。	Sìhū hěn piányi.	It seemed to be cheap.	[sound:333228.mp3]
米价下跌了。	Mǐ jià xiàdiē le.	The price of rice has come down.	[sound:333506.mp3]
看你并不感到惊讶，你肯定已经知道了。	Kàn nǐ bing bù gǎndào jingyà, nǐ kěnding yǐjing zhīdào le.	You're not even fazed. You must have known all along!	[sound:334182.mp3]
我想要橙汁。	Wǒ xiangyào chengzhī.	I'd like orange juice.	[sound:334502.mp3]
汽笛声响起，船开始慢慢地驶离港口。	Qìdí shengxiang qǐ, chuán kāishǐ mànmàn de shǐlí gangkoǔ.	A whistle blew, and the boat slowly began to pull out of port.	[sound:332689.mp3]
橙子在我嘴里留下了一种奇怪的味道。	Chengzi zài wǒ zuǐ lǐ liúxià le yī zhong qíguài de wèidao.	The orange left a strange taste in my mouth.	[sound:334504.mp3]
我无法相信自己的眼睛。	Wǒ wúfǎ xiangxìn zìjǐ de yǎnjing.	I can't believe my eyes.	[sound:332561.mp3]
我已经受够了这个计划。	Wǒ yǐjing shoùgoù le zhège jìhuà.	I've had enough of this program.	[sound:332700.mp3]
他说的话根本毫无意义。	Tā shuō de huà gēnběn háowú yìyì.	What he says makes no sense at all.	[sound:335127.mp3]
这种水果形状像橙子，味道像菠萝。	Zhèzhong shuǐguǒ xingzhuang xiang chengzi, wèidao xiang bōluó.	This fruit is shaped like an orange and tastes like a pineapple.	[sound:334505.mp3]
他的医生建议他戒烟。	Tā de yīsheng jiànyì tā jièyān.	His doctor advised him to quit smoking.	[sound:332499.mp3]
天冷得足以让湖结冰。	Tiān leng de zúyǐ rang hú jiébing.	The weather was so cold that the lake froze over.	[sound:332785.mp3]
我需要购买新的镜架。	Wǒ xūyào goùmǎi xīn de jingjià.	I need to buy new spectacle frames.	[sound:332790.mp3]
年轻人应该尊敬老人。	Niánqingrén yinggāi zūnjing lǎorén.	The young should respect the old.	[sound:332999.mp3]
火车因大雪被耽搁了。	Huǒchē yīn dàxuě bèi dānge le.	The train was delayed because of heavy snowfall.	[sound:333030.mp3]
她为一本书收集材料。	Tā wèi yī běn shū shoūjí cáiliào.	She is collecting material for a book.	[sound:333927.mp3]
他的容貌改变了许多。	Tā de rongmào gǎibiàn le xǔduō.	He's changed a lot in his looks.	[sound:334283.mp3]
除了那些我们尝试过的政府形态，民主是最差的那种了。	Chúle nèixiē wǒmen changshì guo de zhengfǔ xingtài, mínzhǔ shì zuì chà de nèizhong le.	Democracy is the worst form of government, except all the others that have been tried.	[sound:334439.mp3]
是你该放弃你幼稚手段的时候了。	Shì nǐ gāi fangqì nǐ yoùzhì shoǔduàn de shíhou le.	It is time you left off your childish ways.	[sound:334827.mp3]
不要对批评太敏感了。	Bù yào duì pīping tài mǐngǎn le.	Don't be too sensitive to criticism.	[sound:335125.mp3]
警察大概从一个月前就开始找被偷物品了。	Jingchá dàgài cong yī ge yuè qián jiù kāishǐ zhǎo bèi toū wùpǐn le.	The police have been searching for the stolen goods for almost a month.	[sound:333392.mp3]
观察鸟类是个很好的业余爱好。	Guānchá niǎolèi shì ge hěn hǎo de yèyú àihào.	Bird watching is a nice hobby.	[sound:333590.mp3]
在奥运会的竞赛中，金牌代表第一名，银牌代表第二名，铜牌是第三名。	Zài Aòyùnhuì de jingsài zhong, jīnpái dàibiǎo dì-yī ming, yínpái dàibiǎo dì-èr ming, tongpái shì dì-sān ming.	In Olympic competitions, a gold medal is for first place, a silver medal for second, and a bronze medal is for third place.	[sound:334995.mp3]
我可以用支票付吗？	Wǒ kěyǐ yong zhīpiào fù ma?	May I pay by check?	[sound:332454.mp3]
那栋灰色的大楼吗？	Nà dong huīsè de dàloú ma?	That gray building?	[sound:332872.mp3]
你的提议值得考虑。	Nǐ de tíyì zhíde kǎolv.	Your proposal is worthy of being considered.	[sound:332904.mp3]
我们为表演者鼓掌。	Wǒmen wèi biǎoyǎnzhě gǔzhang.	We gave the performer a clap.	[sound:332932.mp3]
日本人放弃了战争。	Rìběnrén fangqì le zhànzheng.	The Japanese people have renounced war.	[sound:332967.mp3]
他伸直了他的手臂。	Tā shēnzhí le tā de shoǔbì.	He stretched his arm.	[sound:333821.mp3]
你肯定脑子糊掉了。	Nǐ kěnding nǎozi hú diào le.	You must be mentally exhausted.	[sound:333925.mp3]
死是唯一的解脱吗？	Sǐ shì wéiyī de jiětuō ma?	Is death the only release?	[sound:333959.mp3]
水结冰后成为固体。	Shuǐ jiébing hoù chengwéi gùtǐ.	Water becomes solid when it freezes.	[sound:334102.mp3]
有条小路穿过农田。	Yoǔ tiáo xiǎolù chuānguò nongtián.	There is a path through the fields.	[sound:334578.mp3]
湖上的冰太薄了，承受不了你的重量。	Hú shang de bing tài báo le, chengshoù bù liǎo nǐ de zhongliang.	The ice on the lake is too thin to bear your weight.	[sound:333758.mp3]
现代交通使我们能在几天内环绕地球。	Xiàndài jiāotong shǐ wǒmen neng zài jǐ tiān nèi huánrào dìqiú.	Modern travel enables us to go around the world in a few days.	[sound:334046.mp3]
沿着这条路直走，到第三个红绿灯的地方右转。	Yánzhe zhè tiáo lù zhí zoǔ, dào dì-sān gè honglvdeng de dìfang yoùzhuǎn.	Go straight down this street and turn right at the third light.	[sound:332470.mp3]
我头痛。	Wǒ toútong.	I have a headache.	[sound:332568.mp3]
毕加索是个有名的艺术家。	Bìjiāsuǒ shì ge yoǔming de yìshùjiā.	Picasso is a famous artist.	[sound:332703.mp3]
厕所冲水不正常。	Cèsuǒ chongshuǐ bù zhengchang.	The toilet doesn't flush properly.	[sound:332804.mp3]
铃响了。	Ling xiang le.	The bell rang.	[sound:332971.mp3]
澳洲比南美洲小。	Aòzhoū bǐ Nánměizhoū xiǎo.	Australia is smaller than South America.	[sound:333155.mp3]
他善用他的天赋。	Tā shànyong tā de tiānfù.	He makes good use of his talents.	[sound:333169.mp3]
凡人皆有得意时。	Fánrén jiē yoǔ déyì shí.	Every dog has his day.	[sound:333200.mp3]
把问题澄清一下。	Bǎ wèntí chengqing yīxià.	Let's clear up this problem.	[sound:333401.mp3]
学生不该忽略自己的身份。	Xuésheng bù gāi hūlvè zìjǐ de shēnfèn.	A student should not lose sight of his own identity.	[sound:333432.mp3]
你赞成还是反对这个计划？	Nǐ zàncheng háishi fǎnduì zhège jìhuà?	Are you for or against the plan?	[sound:333501.mp3]
这个炸弹可以炸死很多人。	Zhège zhàdàn kěyǐ zhàsǐ hěn duō rén.	This bomb can kill many people.	[sound:333893.mp3]
该事件播下了战争的种子。	Gāi shìjiàn bō xià le zhànzheng de zhongzi.	The incident sowed the seeds of the war.	[sound:333917.mp3]
没有爱情的生活毫无意义。	Méiyoǔ àiqing de shenghuó háowú yìyì.	Life without love is just totally pointless.	[sound:334157.mp3]
父亲正忙着写信。	Fùqin zheng mang zhe xiěxìn.	Father is busy writing letters.	[sound:334233.mp3]
往返吗？是单程。	Wangfǎn ma? Shì dāncheng.	Round trip? Only one-way.	[sound:334421.mp3]
这鸟你们用英语怎么称呼？	Zhè niǎo nǐmen yong Yingyǔ zěnme chenghu?	What do you call this bird in English?	[sound:334619.mp3]
这个价格不合理。	Zhège jiàgé bù hélǐ.	The price isn't reasonable.	[sound:334855.mp3]
外国人使我惊讶。	Wàiguórén shǐ wǒ jingyà.	Foreigners astound me.	[sound:334918.mp3]
他停下来抽根烟。	Tā tingxiàlái choū gēn yān.	He paused to have a cigarette.	[sound:335115.mp3]
问题是我们如何应付目前的困难。	Wèntí shì wǒmen rúhé yingfu mùqián de kùnnan.	The problem is how we cope with the present difficulties.	[sound:332816.mp3]
消防车到达之前，房子就全烧了。	Xiāofangchē dàodá zhīqián, fangzi jiù quán shāo le.	Before the fire engine arrived, the whole house was burnt down.	[sound:332896.mp3]
那女孩的头发上绑了一根黄丝带。	Nà nvhái de toúfa shang bang le yī gēn huang sīdài.	The girl wore a yellow ribbon in her hair.	[sound:334126.mp3]
奥运会重要的是参与，不是获胜。	Aòyùnhuì zhongyào de shì cānyù, bù shì huòsheng.	The important thing about the Olympic Games is not to win, but to take part in them.	[sound:334991.mp3]
鲍勃第一个到达终点线。	Bàobó dì-yī gè dàodá zhongdiǎnxiàn.	Bob reached the finish line first.	[sound:332613.mp3]
整个国家被大雪覆盖了。	Zheng gè guójiā bèi dà xuě fùgài le.	The whole country was covered in snow.	[sound:334033.mp3]
我爸爸已经戒烟戒酒了。	Wǒ bàba yǐjing jiè yān jiè jiǔ le.	My father has already given up smoking and drinking.	[sound:334661.mp3]
巨大的柱子遮住了视线，让人看不到湖。	Jùdà de zhùzi zhēzhù le shìxiàn, rang rén kàn bù dào hú.	A large pillar obstructs the view of the lake.	[sound:333067.mp3]
战争永远谈不上好，和平永远谈不上坏。	Zhànzheng yongyuǎn tánbushang hǎo, héping yongyuǎn tánbushang huài.	There never was a good war nor a bad peace.	[sound:333912.mp3]
乘公交车费时。	Cheng gongjiāochē fèishí.	The bus will take time.	[sound:332551.mp3]
爱都是嫉妒的。	Aì doū shì jídù de.	There's no love without jealousy.	[sound:332801.mp3]
他的性情古怪。	Tā de xingqing gǔguài.	He's a strange character.	[sound:333195.mp3]
我没发现任何我该道歉的理由。	Wǒ méi fāxiàn rènhé wǒ gāi dàoqiàn de lǐyoú.	I don't see any reason why I have to apologize.	[sound:333847.mp3]
哦，我很抱歉。	O, wǒ hěn bàoqiàn.	Oh, I'm really sorry.	[sound:334332.mp3]
这是官方消息。	Zhè shì guānfang xiāoxi.	This news is official.	[sound:334538.mp3]
奥运会最重要的不是获胜，而是参与。	Aòyùnhuì zuì zhongyào de bù shì huòsheng, érshì cānyù.	The most important thing in the Olympic Games is not winning but taking part.	[sound:334990.mp3]
一块岩石从上面落下。	Yī kuài yánshí cong shangmiàn luòxià.	A rock fell from above.	[sound:332567.mp3]
这个诗人兼学者死了。	Zhège shīrén jiān xuézhě sǐ le.	The poet and scholar is dead.	[sound:332764.mp3]
她养各种不同的宠物。	Tā yang gèzhong bùtong de chongwù.	She kept various kinds of pets.	[sound:333709.mp3]
他很困惑该走哪条路。	Tā hěn kùnhuò gāi zoǔ nǎ tiáo lù.	He was doubtful about which way to take.	[sound:334806.mp3]
